レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,福岡,01R,晴,右横風,2.0,2.0,50.0,6,50,B2,2.05,10.53,0.0,0.0,22.81,25.37,6.99,6,0,0,-1.565498433480627,-1.0501051706755886,-1.7175882255444734,-1.268722245401714,-1.6309692614870774,-1.3612458975684927,1.7722938923963598
20240611FKO02,福岡,02R,晴,右横風,3.0,3.0,50.0,6,55,B1,4.71,21.51,5.06,31.36,26.15,40.68,6.99,4,0,0,0.30006736962531494,0.07719002404272793,0.5243437803273828,0.6148836085396862,-1.0667344562701644,1.2554205258465265,0.8770580193070495
20240611FKO03,福岡,03R,曇り,右横風,3.0,3.0,50.0,6,54,B1,4.85,27.55,4.56,23.96,31.03,37.88,6.96,3,0,1,0.22939298227295796,0.1072270520464431,0.4567954317102211,0.3568677087995649,-0.19612815975000825,0.9949532704230618,-0.6085806194501964
20240611FKO04,福岡,04R,曇り,右横風,3.0,3.0,50.0,6,54,B1,4.35,21.98,3.73,12.2,23.81,42.19,6.96,6,0,0,-0.9356715993783674,-0.8034064649041213,-1.7579656779682435,-1.5298763806019315,-0.22596419999778078,1.7449886661563323,-0.3986032682998875
20240611FKO05,福岡,05R,曇り,右横風,2.0,2.0,50.0,6,53,A1,6.61,44.7,6.83,56.1,36.51,21.05,7.0,4,0,0,1.2811272011877042,1.0862237915213728,1.2502708947438819,1.419590345745611,0.8307374166481453,-0.9727804514470437,0.7694837640638762
20240611FKO06,福岡,06R,曇り,右横風,3.0,3.0,50.0,6,54,A2,6.01,40.6,5.8,32.5,27.27,33.33,7.03,2,0,1,0.5385885632927889,0.49033870674231567,0.8578447889365797,0.35731050589248153,-0.09996391307726633,-0.5211270711312851,1.6383875382491795
20240611FKO07,福岡,07R,曇り,右横風,2.0,2.0,50.0,6,50,B1,4.23,25.96,2.56,0.0,32.94,35.29,7.05,6,0,0,-0.2683597457511838,0.17359354688851988,-0.4100913814789159,-0.8000533352634837,-0.057392223787581825,0.6563278100029835,1.492340450834745
20240611FKO08,福岡,08R,曇り,右横風,2.0,2.0,50.0,6,54,B1,4.61,24.19,5.84,32.65,27.03,28.33,6.96,6,0,0,-0.5914120747890352,-0.44088157060971367,0.5890170063906633,-0.2947718170805229,-0.6344214152267245,-1.8120953494233272,-0.6754697823349515
20240611FKO09,福岡,09R,晴,右横風,2.0,2.0,50.0,6,51,B1,5.01,29.21,0.0,0.0,34.25,24.62,7.03,6,0,0,-0.28270403390884374,-0.2014176832422464,-1.888555197826213,-1.4271210420464409,0.17065721199636455,-0.9903065628971206,1.157109835116235
20240611FKO10,福岡,10R,晴,右横風,2.0,2.0,50.0,6,54,B1,4.51,21.15,4.62,17.78,32.14,32.89,6.91,4,0,0,-1.5183775786270481,-1.7468435731728584,0.10325023189836906,-0.5361386347677298,1.0239588568737579,0.8772768863480988,-1.5498260496951746
20240611FKO11,福岡,11R,晴,右横風,2.0,2.0,50.0,6,52,A2,5.95,45.74,5.85,41.76,32.47,49.28,6.95,6,0,0,0.22613033420957446,0.7641277849141173,0.4427646511477097,0.6311288313271654,0.9706974760106138,1.9910490041055484,0.10060545457318992
20240611FKO12,福岡,12R,曇り,右横風,2.0,2.0,50.0,6,51,A1,6.2,42.27,6.26,54.84,29.76,31.94,6.97,5,0,0,-0.764268356844877,-0.8581971768816158,-0.7079098555864045,0.7752335789583319,-0.0982644173593706,-0.3473548005930119,0.2214037213849997
20240611TKY01,徳山,01R,曇り,追い風,1.0,1.0,45.0,6,45,B1,5.02,29.76,6.0,44.44,36.36,29.41,7.07,4,0,0,0.32499187530467366,0.2674000521536098,0.8474430572670537,0.880322506467088,0.802458344052446,-0.8839190452376644,0.1451380338536921
20240611TKY02,徳山,02R,曇り,追い風,1.0,1.0,45.0,6,56,B1,4.52,18.89,5.05,36.36,40.0,33.33,7.11,5,0,0,-1.6028400328261634,-1.6506510878547387,-0.7173514368389562,-0.4904621649840401,0.3413837678525605,-0.5652961869454363,0.7634472069272026
20240611TKY03,徳山,03R,曇り,追い風,1.0,1.0,45.0,6,55,B1,5.45,35.06,5.48,37.5,0.0,24.36,7.12,5,0,0,0.39284751020845143,0.36996318421490243,0.7812551568687627,0.8582819165699656,-0.7364383964750159,-1.599081744662103,0.9447793865558377
20240611TKY04,徳山,04R,曇り,追い風,2.0,2.0,45.0,6,53,B1,4.0,18.67,4.47,23.73,30.0,36.78,7.07,6,0,0,-1.5012716673409325,-1.4354881418538952,-1.5986677441395818,-1.459068165871911,0.3111682271053212,0.6120535016883889,0.5535093034625518
