レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,19,0,1,2.0,2.0,50.0,3,1,0.1570915383077449,0.4759060574556475,-0.7632614770506023,1.3893179912027531,-1.2659242088546327
20240611FKO02,19,1,1,3.0,3.0,50.0,1,1,1.703953991800894,0.6920022931593364,-0.5479034418997699,-0.5539018285558036,-1.3155870289605158
20240611FKO03,19,2,1,3.0,3.0,50.0,2,0,0.5912523345908642,0.7322053192243253,-0.922448927175866,-1.2844754848760918,0.3042903097250847
20240611FKO04,19,3,1,3.0,3.0,50.0,1,1,0.1660577582514503,-0.1878741945920259,-0.6819640270203278,-1.2092299837904965,1.3096964529853317
20240611FKO05,19,4,1,2.0,2.0,50.0,2,1,-0.2712707063013115,-0.3452630922723694,-0.1536388348301811,0.3485713522757236,-0.2564945880212845
20240611FKO06,19,5,1,3.0,3.0,50.0,1,1,1.368706715890849,1.208283511225566,-1.350576272426899,1.6895445906762152,0.0442807442769882
20240611FKO07,19,6,1,2.0,2.0,50.0,0,1,1.5975297805894009,1.138212813900665,-0.5667148423303889,-0.1461167752196433,-0.2547898330693476
20240611FKO08,19,7,1,2.0,2.0,50.0,2,1,-0.4669042695702913,-0.7174282968834154,-0.7964797157781089,0.1733588187308727,0.7982824700322719
20240611FKO09,19,8,1,2.0,2.0,50.0,2,1,-0.8145709451610762,0.3617950066846154,0.4916553012276218,-0.3164781291500075,-1.0645410483069222
20240611FKO10,19,9,1,2.0,2.0,50.0,2,0,-0.0057953342695682,-2.0168211964148126,-1.5825934850243095,1.0548699579986975,0.664211164155058
20240611FKO11,19,10,1,2.0,2.0,50.0,1,1,0.3641081652527034,0.4216134735451121,-0.0364778233419351,-0.1863408906824873,-0.9054490911587272
20240611FKO12,19,11,1,2.0,2.0,50.0,0,1,0.1021372458456297,1.2135597524338375,0.8868120437927371,-1.317690955819494,0.8856148855400873
20240611TKY01,13,0,8,1.0,1.0,45.0,2,1,-1.1599710010874549,0.2746560601114828,-0.8968652080586162,0.1633814264121615,-0.7256901692684294
20240611TKY02,13,1,8,1.0,1.0,45.0,1,0,-0.5106000104570875,-0.5566460824821768,-0.5948326937029961,0.0866052654094683,-0.2776171661553497
20240611TKY03,13,2,8,1.0,1.0,45.0,2,0,-0.4937624669592467,-0.6241230106564365,-0.7364383964750159,0.4178909763610532,-1.1809742331947854
20240611TKY04,13,3,8,2.0,2.0,45.0,1,1,1.1952059596765874,0.7834108865703913,1.0627605102501505,-0.5443892954715811,-1.4391241890026585
20240611TKY05,13,4,1,2.0,2.0,45.0,0,1,1.028464573488914,0.6921168274684952,-0.8007237488382978,1.6088600661013777,-0.96583426160782
20240611TKY06,13,5,2,1.0,1.0,45.0,0,1,1.298120513589651,1.3776379979338071,-0.6396021490668312,0.3611443688640737,-0.6454972243679046
20240611TKY07,13,6,8,1.0,1.0,45.0,2,0,-0.869962224580554,0.3758699811238098,0.4350714721995016,-1.128262444100792,0.1717513466431863
20240611TKY08,13,7,2,2.0,2.0,45.0,0,1,1.4805965318087972,1.018840212802062,0.3964979796228641,-0.3514018980175037,-0.3557840334824192
