レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,19,0,1,2.0,2.0,50.0,2,0,-0.3174332463735801,-0.642885439226234,0.2725643783609615,-0.2419710352034022,0.2626222055904386,-0.2498917620835553,0.2531848417708636
20240611FKO02,19,1,1,3.0,3.0,50.0,2,0,-0.5358345886166329,-0.5352803536420936,-0.0476676163933984,-0.5643677599206444,-0.6492842148227205,-0.4509763054011794,0.8770580193070495
20240611FKO03,19,2,1,3.0,3.0,50.0,2,1,0.0096926612228008,-0.2936998027328575,0.4834480014696507,-0.0393195559395927,0.0431050900549476,0.2515317351980436,-0.9128709291752812
20240611FKO04,19,3,1,3.0,3.0,50.0,1,0,-0.0063868368558251,0.3919190750082714,0.6173009250880854,0.9267425660342996,-1.479963724309786,0.1447868974351335,0.9680365087282938
20240611FKO05,19,4,1,2.0,2.0,50.0,3,0,-1.5022470206097818,-1.4277234270274743,-1.333971038325063,-1.213829937406622,-0.6172746107336472,-0.4283424831602371,1.0259783520851606
20240611FKO06,19,5,1,3.0,3.0,50.0,1,0,0.1927059997102642,0.1612403689183787,0.5293084867906557,0.5194771198893552,0.4998195653863329,-0.7501497623763367,0.0442807442769882
20240611FKO07,19,6,1,2.0,2.0,50.0,2,0,-1.0923820238812905,-0.7940981400219532,-0.5858448306841656,-0.721088621989582,-0.6227723632391887,-1.5689588158830483,0.400384023394692
20240611FKO08,19,7,1,2.0,2.0,50.0,2,0,-0.9773862709671436,-0.9122867643942076,-1.2031579609212135,-1.4476835860049462,0.3673935336363765,-0.1835406349778172,1.5351585962158671
20240611FKO09,19,8,1,2.0,2.0,50.0,1,1,0.4791593795065164,0.2645123791976491,0.9586462397081164,1.4410592833686524,-0.3006817544697859,1.1391712753053589,-0.2314219670232321
20240611FKO10,19,9,1,2.0,2.0,50.0,1,0,0.2028366994349119,-0.1733223481102566,0.4107064779957352,0.1912212817214325,-0.2737923562144461,-0.5508673981754699,1.107018606925097
20240611FKO11,19,10,1,2.0,2.0,50.0,1,0,1.3759455929023228,1.2579877128980197,-2.0319231283562105,-1.884951359242995,0.519405466877645,-0.6777893935813539,0.3018163637195697
20240611FKO12,19,11,1,2.0,2.0,50.0,0,0,-0.1091811938349826,0.3994317580211659,0.9101698143253788,0.6483002458359846,1.3538112550055887,-0.2653796616758069,0.8856148855400873
20240611TKY01,13,0,8,1.0,1.0,45.0,2,0,0.8349791257827799,1.0893102861687587,-1.9695421746455903,-1.8348792647808516,-0.8968652080586162,0.6937328535547597,1.1901318776002163
20240611TKY02,13,1,8,1.0,1.0,45.0,2,0,-0.2442000050012152,-0.2029349046962792,-0.7173514368389562,-0.4475367891183381,0.8679397079850445,0.695046620940712,-1.5268944138543867
20240611TKY03,13,2,8,1.0,1.0,45.0,1,1,0.3063489758506271,0.3062327770400733,-0.0469927913906023,-0.3297414157544894,1.5650437807904878,0.4178909763610532,-1.3581203681740002
20240611TKY04,13,3,8,2.0,2.0,45.0,2,1,-0.1530328538321726,-0.2561560111788749,-0.0955379129963895,0.1013973364369465,-1.25031158552244,-1.4806158578532165,-1.107018606925133
20240611TKY05,13,4,1,2.0,2.0,45.0,2,1,0.2187943742326734,0.2351528779928748,0.2007667133114717,0.1959974696512279,1.1475514098511146,-1.319343927066997,0.1931668523215571
20240611TKY06,13,5,2,1.0,1.0,45.0,2,1,-0.6214797926250734,-0.9354378393559052,-0.2774863265980415,0.3887221683258906,1.066003581778052,-0.3300889585040558,0.7100469468047054
20240611TKY07,13,6,8,1.0,1.0,45.0,1,1,0.4107656689256641,0.3273225637837769,0.6975099649710503,0.5350334477735349,-0.0977571946536821,0.536135586965639,0.1717513466431863
20240611TKY08,13,7,2,2.0,2.0,45.0,2,0,-0.3231355579260698,-0.5266934677265536,0.2279346028640735,-0.2753366059610092,0.9257966030809976,0.8013171100871728,1.0673521004472262
20240611TKY09,13,8,2,2.0,2.0,45.0,2,1,-1.3030789875957685,-1.0432179994928554,-0.7832599210326695,-0.7976591721851686,0.8157969185875655,0.7980681949259774,-1.258741365238085
