レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240611KRY01,2.1,9.4,46.8,13.2,7.6,37.2,10.1,53.2,19.4,118.1,12.2,53.2,10.6,61.7,27.7,123.4,77.6,21.7,113.1,54.3
20240611KRY02,5.4,24.2,6.2,18.9,21.7,4.2,24.6,61.8,89.8,21.0,36.1,5.1,23.0,58.0,77.3,15.7,33.1,67.9,14.5,36.6
20240611KRY03,5.2,5.5,17.7,21.6,7.1,15.2,51.9,23.4,37.2,79.7,5.9,14.4,27.2,10.8,15.6,62.0,21.8,49.6,55.8,42.9
20240611KRY04,13.9,12.5,3.0,81.9,23.8,8.3,144.9,7.7,99.1,19.6,24.4,9.7,72.4,6.9,85.6,18.4,16.9,144.9,43.8,36.9
20240611KRY05,3.8,3.7,35.0,20.7,6.6,28.7,20.5,46.7,31.1,90.2,5.3,33.2,19.8,36.0,18.5,126.3,45.9,30.0,157.9,78.9
20240611KRY06,2.9,36.0,15.0,35.3,9.6,2.7,6.9,37.6,86.0,8.2,101.6,53.2,72.9,239.5,95.8,223.6,93.1,159.7,68.4,129.0
20240611KRY07,3.0,15.9,56.4,27.7,3.3,15.6,11.4,56.4,40.3,104.3,6.0,23.0,29.4,64.8,85.7,208.6,16.4,26.8,85.7,165.5
20240611KRY08,7.8,21.0,4.3,21.0,12.7,3.0,12.1,6.4,24.1,9.7,76.6,64.3,157.9,144.8,148.9,127.1,118.4,113.3,91.4,89.8
20240611KRY09,4.3,4.0,5.3,73.4,8.1,9.4,90.3,5.8,40.3,77.4,44.2,23.0,234.3,19.7,95.2,180.6,31.9,125.6,157.6,44.4
20240611KRY10,8.1,20.0,5.4,30.2,18.5,4.6,27.6,18.8,40.8,9.8,35.1,10.8,24.4,28.8,54.6,11.5,30.0,55.0,13.8,27.4
20240611KRY11,2.3,7.9,6.3,19.2,9.3,5.7,21.5,23.4,49.5,25.9,48.1,28.8,68.9,77.4,145.1,91.3,52.4,131.1,99.1,76.7
20240611KRY12,4.5,3.7,7.5,18.7,6.8,10.8,23.3,10.3,18.7,26.3,33.1,49.3,98.7,38.4,46.1,80.8,46.2,64.0,85.9,49.9
20240611TDA01,7.6,3.7,12.7,8.2,14.2,15.6,22.0,11.2,11.1,31.9,23.8,56.2,36.3,21.2,8.5,64.5,51.2,43.5,112.4,35.2
20240611TDA02,16.5,3.9,13.1,31.4,12.5,32.5,69.2,4.2,17.7,30.2,29.0,32.2,90.6,7.5,17.1,36.9,30.4,61.4,92.8,9.0
20240611TDA03,12.5,10.6,3.3,100.2,22.3,11.6,143.8,7.7,91.8,106.6,13.4,6.2,94.5,5.1,132.3,41.3,13.7,122.5,254.4,118.1
20240611TDA04,6.4,14.4,17.8,5.6,8.9,16.9,3.3,45.8,10.2,20.2,40.9,93.8,19.0,91.7,50.2,98.1,57.0,21.9,37.6,50.2
20240611TDA05,13.2,8.8,35.5,29.5,3.4,20.5,8.3,11.9,5.3,32.8,34.8,93.2,49.0,65.6,34.5,122.7,29.8,9.2,45.7,21.1
20240611TDA06,18.1,10.3,6.1,4.9,36.7,28.2,30.0,10.2,13.0,6.4,61.4,43.6,51.7,17.7,22.0,11.8,47.9,72.7,49.7,10.9
20240611TDA07,4.2,12.7,14.5,38.8,4.0,4.0,17.1,12.2,40.6,37.1,36.3,21.7,93.8,71.8,67.5,198.6,16.0,61.4,55.3,42.7
20240611TDA08,13.1,31.1,40.8,30.9,6.6,13.2,10.5,31.3,6.8,25.5,24.9,26.1,23.3,50.4,27.8,40.8,9.1,6.4,10.3,14.2
20240611TDA09,3.8,3.9,55.6,16.1,3.9,45.8,13.7,74.5,12.1,84.5,9.4,107.2,30.7,112.7,23.5,191.2,78.5,21.4,169.1,89.7
20240611TDA10,5.7,3.8,8.4,7.6,10.9,21.7,27.3,17.1,12.6,28.8,16.5,51.7,47.2,28.3,22.0,57.1,30.7,39.7,95.8,28.5
20240611TDA11,2.4,4.9,19.4,9.0,7.7,26.3,10.9,27.2,10.8,36.3,30.2,71.5,49.6,102.6,48.6,196.7,96.3,56.8,236.0,80.0
20240611TDA12,5.8,6.9,6.2,30.8,10.4,10.3,29.8,10.2,39.7,35.8,9.5,11.4,46.0,10.8,51.6,43.5,18.8,70.3,84.4,43.0
20240611HMN01,3.1,2.9,25.9,7.6,8.0,46.7,15.8,26.3,17.1,99.0,21.5,153.1,29.0,129.5,21.3,240.6,120.3,54.3,153.1,88.6
20240611HMN02,12.3,17.8,6.5,9.4,31.3,6.7,13.0,13.2,13.2,4.6,90.5,60.9,44.6,71.2,53.1,19.5,81.7,77.9,12.2,12.9
20240611HMN03,6.4,12.8,19.9,9.4,10.2,8.0,4.9,27.7,18.2,11.8,46.6,29.1,11.0,79.4,58.7,38.1,55.4,33.4,15.3,34.1
20240611HMN04,2.6,14.3,5.8,21.6,13.1,3.8,14.1,19.1,42.9,15.8,83.9,36.4,96.5,175.5,120.6,107.2,91.9,160.8,48.2,137.8
20240611HMN05,5.5,15.3,21.6,18.7,7.6,6.0,6.0,33.3,17.9,22.1,25.4,36.2,27.9,102.8,98.8,111.7,20.7,9.3,14.4,26.2
20240611HMN06,4.2,15.1,58.3,23.0,3.3,17.2,3.2,62.8,18.3,54.4,40.8,81.7,24.0,408.5,68.0,136.1,45.3,15.8,62.8,86.0
20240611HMN07,18.0,7.4,10.0,3.0,33.5,28.2,9.2,26.9,5.9,5.4,115.8,115.8,55.1,165.4,29.6,33.5,330.8,55.1,77.2,51.4
20240611HMN08,21.2,17.1,65.4,84.1,1.9,8.8,15.6,4.3,6.2,47.7,93.0,147.2,135.9,160.6,196.3,294.5,38.4,76.8,196.3,80.3
20240611HMN09,4.2,15.4,17.9,37.2,4.8,6.8,16.1,23.3,38.1,35.5,14.2,10.9,34.0,38.1,74.5,47.4,12.4,25.6,20.8,57.9
20240611HMN10,11.1,3.1,5.0,19.2,15.0,15.3,36.5,3.8,22.8,19.4,70.7,182.7,121.8,24.6,78.3,49.8,109.6,274.1,64.5,28.4
20240611HMN11,2.8,3.7,14.5,38.1,4.7,12.9,30.9,12.7,31.4,67.1,23.7,67.1,121.6,30.4,108.1,389.4,33.0,69.5,162.2,47.4
20240611HMN12,6.9,4.8,5.5,40.8,5.7,6.3,46.8,3.9,26.6,19.9,108.6,94.7,164.9,67.4,148.4,164.9,75.4,212.0,212.0,85.6
20240611GMG01,5.7,15.4,16.7,13.9,9.2,9.6,14.7,17.1,33.0,40.9,13.7,10.7,10.4,18.6,28.2,34.5,10.9,27.2,26.3,39.3
20240611GMG02,9.8,21.8,16.3,9.4,16.8,21.6,9.5,38.1,24.8,15.0,9.6,19.6,6.9,36.9,14.6,20.0,17.5,11.1,16.6,39.8
20240611GMG03,7.3,2.8,4.7,10.1,13.7,18.1,35.2,8.6,15.5,21.8,46.1,54.6,144.7,24.9,47.8,71.3,73.3,281.8,184.6,67.7
20240611GMG04,9.8,7.5,11.1,44.2,4.9,7.9,52.8,4.5,24.4,38.6,24.7,32.0,144.4,13.1,50.3,68.7,11.5,73.4,78.7,18.5
20240611GMG05,6.1,9.7,26.6,4.3,9.7,26.4,5.6,32.2,11.7,27.8,21.6,66.5,14.3,72.4,17.7,64.4,54.9,18.4,52.1,38.9
20240611GMG06,3.0,12.8,6.1,12.5,11.8,6.0,10.5,26.0,43.3,20.5,57.6,27.0,19.2,72.3,62.4,34.3,81.9,71.8,37.0,58.2
20240611GMG07,11.2,10.8,3.7,38.1,12.9,3.8,41.1,5.1,32.3,12.3,79.0,35.4,168.7,31.0,117.2,69.1,29.6,139.2,65.5,37.3
20240611GMG08,12.9,6.8,12.5,19.3,10.0,14.9,22.6,5.6,6.5,12.9,50.9,64.9,85.2,20.3,21.7,37.9,30.6,31.1,62.6,8.8
20240611GMG09,7.1,2.7,12.6,38.7,5.3,18.9,53.5,7.3,16.0,48.6,18.7,46.2,151.1,19.5,39.2,114.1,38.9,82.2,127.0,33.7
20240611GMG10,13.3,15.6,24.8,7.6,7.5,18.3,2.6,22.2,6.0,13.6,92.7,112.4,48.9,112.4,35.5,82.1,97.9,29.1,59.6,52.1
20240611GMG11,8.4,7.9,18.4,12.4,5.1,14.9,8.6,12.8,5.7,27.0,33.7,63.1,40.2,49.0,22.1,54.2,49.3,20.6,69.7,20.2
20240611GMG12,3.9,3.0,6.5,10.3,7.3,13.6,24.9,13.7,15.2,32.1,68.9,121.5,192.0,110.4,98.2,196.4,140.8,165.6,286.3,128.0
20240611TKN01,4.5,6.5,7.9,33.4,4.9,5.3,21.5,15.6,53.7,26.5,15.9,25.3,135.9,55.0,105.0,110.0,21.7,82.5,50.2,41.2
20240611TKN02,8.0,2.8,73.9,25.4,8.4,163.7,57.3,40.2,10.8,71.6,5.2,71.6,19.1,33.7,6.8,76.4,152.8,17.7,229.2,46.7
20240611TKN03,3.9,3.7,5.7,24.5,14.4,16.6,47.1,16.2,52.5,62.4,13.8,19.9,59.2,12.6,43.5,45.2,33.4,115.5,96.2,26.2
20240611TKN04,12.7,19.5,43.9,63.5,10.7,14.4,24.5,27.5,36.2,120.3,5.8,12.0,19.3,25.1,26.2,108.8,4.1,7.0,18.7,16.4
20240611TKN05,10.7,6.2,5.1,27.6,36.8,12.2,48.0,7.2,78.9,16.4,26.9,17.0,78.9,5.6,51.4,13.7,32.9,122.7,40.9,15.1
20240611TKN06,6.3,18.7,7.6,42.1,9.7,3.7,27.8,20.6,77.8,24.6,22.8,9.4,41.6,25.1,70.6,35.7,12.2,42.1,12.7,45.3
20240611TKN07,5.7,5.4,28.8,161.4,8.7,35.8,115.2,17.5,80.7,230.5,3.7,20.6,67.2,4.1,29.8,146.7,16.4,52.0,230.5,57.6
20240611TKN08,7.0,4.6,3.7,56.9,19.5,10.0,140.1,7.2,107.2,79.2,20.0,12.0,91.1,7.1,86.7,72.9,31.4,140.1,101.2,56.9
20240611TKN09,4.6,2.8,8.3,64.9,4.6,15.7,148.3,6.3,76.9,109.3,17.3,56.1,259.6,29.2,83.1,230.8,46.1,207.7,129.8,138.5
20240611TKN10,4.0,4.1,16.9,14.9,7.2,23.1,22.7,27.3,20.5,78.5,8.7,43.2,28.5,37.5,12.5,76.2,48.9,23.3,86.4,29.4
20240611TKN11,2.5,10.8,5.6,12.1,13.8,5.8,20.2,18.9,51.0,18.6,67.1,22.1,57.3,71.2,111.9,53.4,94.0,90.4,51.0,138.2
20240611TKN12,5.4,8.0,7.4,12.9,6.4,5.7,9.0,12.5,13.1,14.0,48.6,63.0,86.0,104.0,86.0,82.8,55.9,77.1,58.0,66.7
20240611TSU01,4.8,4.2,10.6,17.5,3.5,6.9,19.8,11.4,21.4,38.1,65.2,111.8,92.0,195.6,142.2,156.5,44.7,104.3,260.8,104.3
20240611TSU02,4.2,4.6,10.0,42.6,4.4,7.2,43.5,10.4,57.2,47.6,14.2,44.5,117.8,41.7,111.2,117.8,19.4,77.0,105.4,52.7
20240611TSU03,4.9,8.3,14.3,29.5,3.6,9.7,13.6,13.4,28.9,42.1,17.3,30.1,64.1,36.9,86.8,98.4,16.4,15.3,64.1,39.8
20240611TSU04,4.8,4.9,8.4,5.0,11.7,20.3,15.8,36.5,22.8,32.5,27.0,48.7,19.7,43.0,18.5,22.1,104.4,43.0,48.7,43.0
